key_droid	key_apple	base_value	lang_value	base_note	lang_note
	apple_store_description.2	In the years of research required to create the more than two-thousand evidence-based videos on his website NutritionFacts.org, Michael Greger, M.D, FACLM, has arrived at a list of what he considers the most important foods to include in a healthy daily diet.	Le Dr Greger, membre de l'ACLM (American College of Lifestyle Medicine), a passé des années à faire les recherches nécessaires à la création des plus de deux mille vidéos disponibles sur son site NutritionFacts.org. C’est ainsi qu’il a pu établir une liste des aliments les plus importants à inclure quotidiennement dans une alimentation saine.	it should be "two thousand" (no hyphen)	
	apple_store_description.4	All the proceeds from his books, DVDs, and speaking engagements are all donated to charity.	Tous les fonds recueillis à travers ses livres, DVDs et conférences sont reversés à des associations caritatives.	the repetition of "all" is redundant and maybe "the proceeds" could be changed to "proceeds" as with the description for the Android store below 	
	apple_store_description.5	NutritionFacts.org is a non-commercial, non-profit, science-based public service provided by Dr. Greger, delivering free daily updates on the latest in nutrition research via bite-sized videos. He has more than two-thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day.	NutritionFacts.org est une organisation à but non lucratif qui, grâce aux courtes vidéos gratuites du Dr Greger, offre des informations mises à jour quotidiennement sur la recherche scientifique en nutrition. Il y a plus de deux mille vidéos disponibles sur tous les aspects d’une alimentation saine, et de nouvelles informations sont ajoutées tous les jours.	it should be "two thousand" (no hyphen)	
store_screen.5	store_screen.5	Dr. Greger’s Daily Dozen - It’s your regular routine that determines your long-term health. Download today!	Daily Dozen de Dr Greger : Vos habitudes aujourd'hui déterminent votre santé de demain. Téléchargez l'appli dès maintenant !		
android_store_description.1		All proceeds from his books, DVDs, and speaking engagements are donated to charity.	Tous les fonds recueillis à travers ses livres, DVDs et conférences sont reversés à des associations caritatives.		
android_store_description.2		NutritionFacts.org is a non-commercial, non-profit, science-based public service provided by Dr. Greger, delivering free daily updates on the latest in nutrition research via bite-sized videos. He has more than two-thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day. Like this app, everything on the website is both free of ads and free of charge.	NutritionFacts.org est une organisation à but non lucratif qui, grâce aux courtes vidéos gratuites du Dr Greger, offre des informations mises à jour quotidiennement sur la recherche scientifique en nutrition. Il y a plus de deux mille vidéos disponibles sur tous les aspects d’une alimentation saine, et de nouvelles informations sont ajoutées tous les jours. Comme cette appli, notre site internet est complètement gratuit et sans publicité.	it should be "two thousand" (no hyphen)	
