key_droid	key_apple	base_value	lang_value	base_note	lang_note
	apple_store_description.2	In the years of research required to create the more than two-thousand evidence-based videos on his website NutritionFacts.org, Michael Greger, M.D, FACLM, has arrived at a list of what he considers the most important foods to include in a healthy daily diet.	Po letech výzkumu potřebných k vytvoření více než tisíce videí, které jsou založené na důkazech a uveřejněné na webových stránkách NutritionFacts.org, dospěl Michael Greger, MD, FACLM, k seznamu toho, co považuje za nejdůležitější potraviny, které je třeba zahrnout do každodenní zdravé stravy.		
	apple_store_description.4	All the proceeds from his books, DVDs, and speaking engagements are all donated to charity.	Všechny výnosy z jeho knih, DVD a řečnických setkání jsou věnovány na charitativní účely.		
	apple_store_description.5	NutritionFacts.org is a non-commercial, non-profit, science-based public service provided by Dr. Greger, delivering free daily updates on the latest in nutrition research via bite-sized videos. He has more than two-thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day.	NutritionFacts.org je nekomerční a nezisková veřejná služba poskytovaná Dr. Gregerem. Jee založena na vědeckých výzkumech a poskytuje bezplatné denní aktualizace o nejnovějším výzkumu výživy prostřednictvím krátkých videí. Obsahuje téměř tisíc videí věnovaných každému aspektu zdravé výživy. Každý den jsou nahrávána nová videa a články.		
store_screen.5	store_screen.5	Dr. Greger’s Daily Dozen - It’s your regular routine that determines your long-term health. Download today!	Denní Dvanáctka Dr. Gregera je právě tím, co určuje vaše dlouhodobé zdraví. Stáhněte si aplikaci ještě dnes!		
android_store_description.1		All proceeds from his books, DVDs, and speaking engagements are donated to charity.	Veškerý jeho výtěžek z jeho knih, DVD a řečnických setkání je věnován na charitu.		
android_store_description.2		NutritionFacts.org is a non-commercial, non-profit, science-based public service provided by Dr. Greger, delivering free daily updates on the latest in nutrition research via bite-sized videos. He has more than two-thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day. Like this app, everything on the website is both free of ads and free of charge.	NutritionFacts.org je nekomerční a nezisková veřejná služba poskytovaná Dr. Gregerem. Je založena na vědeckých výzkumech a poskytuje bezplatné denní aktualizace o nejnovějším výzkumu výživy prostřednictvím krátkých videí. Obsahuje téměř tisíc videí věnovaných každému aspektu zdravé výživy. Každý den jsou nahrávána nová videa a články.		
